Content,Class,LS1_FCJ,LS1_GETJ,LS1_SJJ,LS1_BMJ,LS1_FWXJ,LS1_STJ,LS1_JXFJ,LS2_FCJ,LS2_GETJ,LS2_SJJ,LS2_BMJ,LS2_FWXJ,LS2_STJ,LS2_JXFJ,LS3_FCJ,LS3_GETJ,LS3_SJJ,LS3_BMJ,LS3_FWXJ,LS3_STJ,LS3_JXFJ,LS4_FCJ,LS4_GETJ,LS4_SJJ,LS4_BMJ,LS4_FWXJ,LS4_STJ,LS4_JXFJ,LS5_FCJ,LS5_GETJ,LS5_SJJ,LS5_BMJ,LS5_FWXJ,LS5_STJ,LS5_JXFJ,LS6_FCJ,LS6_GETJ,LS6_SJJ,LS6_BMJ,LS6_FWXJ,LS6_STJ,LS6_JXFJ,MG1_FCJ,MG1_GETJ,MG1_SJJ,MG1_BMJ,MG1_FWXJ,MG1_STJ,MG1_JXFJ,MG2_FCJ,MG2_GETJ,MG2_SJJ,MG2_BMJ,MG2_FWXJ,MG2_STJ,MG2_JXFJ,MG3_FCJ,MG3_GETJ,MG3_SJJ,MG3_BMJ,MG3_FWXJ,MG3_STJ,MG3_JXFJ,MG4_FCJ,MG4_GETJ,MG4_SJJ,MG4_BMJ,MG4_FWXJ,MG4_STJ,MG4_JXFJ,MG5_FCJ,MG5_GETJ,MG5_SJJ,MG5_BMJ,MG5_FWXJ,MG5_STJ,MG5_JXFJ,MG6_FCJ,MG6_GETJ,MG6_SJJ,MG6_BMJ,MG6_FWXJ,MG6_STJ,MG6_JXFJ
C4:0,saturated,0.375183016,0.216401754,0.285014487,0.898876139,0.394686351,0.65935487,0.612992041,5.501119147,5.764767852,7.561313807,2.617057592,2.149850743,2.632837041,5.109876483,0.70300552,0.367377769,0.213751977,0.438771255,0.489612048,0.396095062,0.501440365,0.299715134,0.220434313,0.598326051,0.302599859,0.505466621,0.465159046,0.413653285,0.1599888,0.222659022,0.647532537,0.589673553,0.600041344,0.357417105,0.239416413,0.504140218,0.527392701,0.392649689,0.282598105,0.361650128,0.287425589,0.561789403,0.988907427,2.053783688,0.696146408,1.843595448,1.259072105,1.198584402,1.350563961,1.611085547,0.982174928,1.293141047,1.046257345,1.6534789,1.653130446,1.249935146,1.113906982,1.14199112,1.438577861,1.173168859,0.848023504,1.178451837,0.658802132,1.022110939,0.537109375,0.818426897,0.810191316,0.585121551,1.137697046,1.147100606,15.07598511,9.788873994,3.993129995,4.295202692,2.532016411,6.612370765,2.951590226,3.224399336,1.241405336,0.63796079,0.782553568,1.630544697,1.228848588,0.865859715
C6:0,saturated,0.095769163,0.347786311,0.379164677,0.318832379,0.244122811,0.298650703,0.490152999,1.363474468,1.386299817,1.692189875,1.21672526,0.999452556,1.472489632,1.092553783,0.07001467,0.146234851,0.089450299,0.216100095,0.416107594,0.310554001,0.209382115,0.13502068,0.260442435,0.36236031,0.322306236,0.310252815,0.36131828,0.360398252,0.855264917,0.397639722,0.714730561,0.348738638,0.129329163,0.358379124,0.159079877,0.114167266,0.412054062,0.125630232,0.290639601,0.180018919,0.246736628,0.280752346,0.149109565,0.060670341,0.043381039,-0.053413964,0.136562148,0.19383593,0.484156647,0.285282904,0.229171244,0.050036933,0.461953655,0.250975773,0.126284688,0.04980551,0.035431267,0.403941943,0.36659712,0.683772173,0.396023067,0.303706295,0.085821417,0.15575412,0.224603537,0.148300334,0.199828506,0.344004587,0.10763882,0.511812841,1.753052434,0.766679431,0.862206955,0.816275777,0.817885115,1.381459986,1.082299587,0.266117849,0.082144224,0.269716043,0.579725744,0.86264457,0.58832381,0.231120237
C8:0,saturated,0.507630025,0.286112567,0.635273465,0.297467825,0.540707961,0.386128499,0.415959308,3.160595025,2.150615558,2.091213295,1.838582376,1.486051709,2.817456589,1.48752987,0.549605643,0.597562205,0.446773584,0.254002144,0.472705232,0.42989207,0.431749626,0.419912358,0.407301964,0.326578946,0.263774867,0.276712904,0.413741699,0.525083414,0.412819569,0.316189191,0.478026983,0.452046687,0.646079952,0.418404084,0.326748216,0.425112602,0.533322389,0.6194033,0.434980744,0.445749154,0.536311762,0.489640169,0.645633137,0.600316133,0.749339461,0.463620291,1.636516075,0.706565148,0.747303275,0.683247558,0.740164544,0.798808955,0.809359743,0.627401494,0.734942887,0.933293375,0.921877164,0.875119617,0.956453138,1.228716915,1.489930856,1.152513123,1.223886311,1.181156863,1.253621442,1.193627532,1.067067947,1.91845522,1.026941208,0.895093666,2.431130375,1.289479594,0.999879388,1.425628345,1.856558126,3.632050185,2.191230233,1.045537441,1.26371607,1.222410853,0.985725596,2.862212768,2.295588314,1.743768023
C10:0,saturated,1.062006421,0.860709223,0.909784486,0.850601678,4.351870303,0.963292877,0.887163229,1.91915748,1.977743265,1.587533642,1.526556319,0.921912718,0.833933021,1.015344243,0.628940644,1.202021061,0.723828342,2.961183398,3.360214657,0.781785875,3.472649107,0.526385692,0.450849898,0.726330854,0.484231826,0.481288183,0.466091704,1.570514657,0.633075547,0.824795401,0.79774484,1.2222722,10.22484838,0.842298906,3.394388311,0.441911752,2.532635185,0.537143336,0.556238611,0.457222545,0.569295286,0.523087757,0.582502322,1.1880218,0.499959991,0.635402814,1.090971532,0.644972712,0.720397655,0.740893415,1.314668466,0.726101568,0.687643748,0.493490533,0.576764672,0.583184925,0.642931983,0.740377454,1.550347936,0.917821995,0.870062428,0.839116031,0.901739097,0.82713886,1.093018592,0.878823501,0.865519608,0.584334242,3.090204374,0.732621707,1.739700922,1.759472459,1.076466359,1.107175455,1.231354415,1.608019264,1.509840166,0.813533347,1.009869386,0.830229943,0.811522968,3.154381891,1.316488838,1.073260541
C11:0,saturated,0.407183694,0.417437645,0.445477588,0.412555875,0.602713654,0.474179414,0.38493765,0.530731267,0.511387722,0.5226518,0.469902634,0.560932556,0.367714489,0.489638058,0.369454719,0.385396753,0.336461123,0.427036435,1.36882277,0.44177558,0.716680448,0.345757615,0.476642864,0.350264111,0.394613103,0.321381404,0.387108709,0.365878342,0.435371556,0.471772521,0.511620358,0.394827641,0.490655651,0.306295291,0.41520316,0.307520311,0.396140158,0.474013711,0.388367937,0.537656826,0.421967695,0.461816464,0.48744823,0.406013628,0.621573664,0.46953192,1.375469475,0.361374506,0.586226832,0.380504715,0.389337882,0.356005012,0.336655414,0.678482186,0.369968678,0.511498058,0.458037027,0.424220919,0.378969756,0.369598526,0.432325539,0.324066165,0.423987126,0.32124586,0.395091761,0.380688368,0.282531102,3.422101892,0.620767511,1.511667203,1.106643308,0.674490998,0.74855556,0.519284104,0.473707796,0.575218639,0.414811227,0.368443253,0.323413733,0.448661307,0.604205466,0.684610493,0.471365536,0.362999966
C12:0,saturated,0.798640187,0.580842755,0.688430066,0.905498228,1.459211054,0.855765052,1.010661598,2.341459864,2.402379681,2.304800699,1.727106142,0.969840037,1.336923848,1.075866063,1.764018102,2.074908906,0.725210928,0.706418483,0.60131165,0.902519994,0.630090454,0.367189194,0.947210931,0.647145569,0.977792239,1.074642859,1.009756689,4.803347282,0.442198543,0.436628146,0.939446865,0.990591937,6.319931242,0.764927169,1.583164605,1.453148711,1.43245876,4.009989168,1.769892827,4.903376796,1.764204438,1.746191671,0.603255033,1.204010645,1.133710294,0.809091465,0.453757652,0.714866351,1.86923531,0.718687432,0.682829473,0.445954808,0.627201581,1.738950254,0.705808476,1.506232239,0.636081474,0.675711162,0.574900816,0.789192449,1.908302651,0.723287849,1.487298714,0.448680547,0.486738711,1.003024592,0.350183904,6.514209058,0.527580423,4.827666914,2.984198757,1.404221411,0.764119374,1.039485269,1.408929327,2.219485211,1.641638067,0.839662788,0.691066904,0.497701532,1.098533967,3.146106899,0.622388809,0.908930826
C13:0,saturated,0.343699318,0.203383922,0.159049436,0.22957844,0.707689234,0.344823842,0.296100188,0.437668868,0.215077527,0.378824003,0.287983747,0.363847015,0.49257782,0.358039147,0.268420705,0.304695855,0.316024781,0.330551214,2.409575868,0.396916363,1.055226192,0.298800765,0.367934918,0.260139743,0.213129129,0.315979251,0.329535035,0.400333914,0.311650339,0.315001233,0.292189336,0.298608441,2.271305869,0.293291011,1.161740597,0.302740166,0.44729534,0.336794094,0.353617691,0.571848791,0.296670533,0.291548557,1.141574546,1.259648621,0.365165866,0.540427705,3.525420902,0.922681275,1.210197729,0.497761096,0.592894621,0.558159583,0.489520428,0.273426701,0.901379619,0.738873494,0.583068385,0.558090532,0.661863482,0.935388205,0.340590968,0.620533476,0.464048588,0.347085455,0.518722283,0.455460329,0.247827796,3.665603288,1.058639427,2.989360732,0.283555712,1.505742825,1.053984156,1.053094635,0.458918293,0.372954972,0.498608565,0.789872799,0.710441144,0.376950163,0.693628244,0.238502745,0.899683304,0.65368311
C14:0,saturated,13.46703047,17.60925737,34.78521192,40.81589001,84.10303659,29.71486975,29.64859358,-0.268110481,24.52733422,-0.795535505,23.35607709,58.25873208,-0.965702882,52.74215984,-0.810419699,67.34353326,33.42706117,112.8499566,67.63302091,34.47142958,73.32352696,-0.308702882,27.31769795,-0.081470427,6.749301602,27.76340288,30.50379165,86.57861088,-0.533715111,-0.083425045,16.0294046,14.27570693,171.9290748,0.754646893,51.88964437,-0.334071812,31.62211531,79.84660123,15.92868667,84.70734383,0.069812038,-0.657703237,32.26849486,45.28065596,60.17810602,2.478205185,232.5398417,24.1458598,180.5340829,1.591408314,12.61297599,2.099322248,0.667669908,43.46787056,27.99160998,57.25340791,1.406712393,1.216842386,9.751081575,39.07008736,108.2593764,5.12656221,65.79996084,0.983475664,7.860098306,2.052334433,-0.04441674,96.29253367,64.89364222,107.0245052,4.654307284,70.87147461,78.76741963,118.27953,33.13047978,-0.820963602,27.2461727,1.595419213,1.859162754,1.232357323,8.638419253,57.42854907,1.568885314,11.45986475
C14:1,unsaturated,0.914774112,0.733452975,1.240831613,7.066976805,10.00080188,3.207851123,2.832008029,0.792711731,1.44980462,0.558033542,1.554877055,2.415820102,0.607500623,3.103506017,0.347332346,3.400766478,1.130380938,7.722001118,3.039577329,2.928346214,1.529898048,0.418352106,4.480828278,0.66046747,1.17730685,2.487038092,3.777569746,11.03991083,0.345263584,0.438763258,1.685375572,1.467888233,10.59260762,0.421189926,6.202286984,0.371854141,3.088203139,7.776796025,1.926338123,14.47103218,0.810114355,0.662098108,3.21375132,4.596457425,6.596244352,0.501374685,8.115130208,2.754694795,1.854030504,0.501266548,2.200875503,0.718675117,0.508610855,0.499850094,3.538663207,1.337788774,0.465477495,0.45239996,2.785047806,8.865495973,0.823024838,0.893897027,1.356515752,0.384320048,2.836053063,0.870200933,0.338677512,11.68845032,7.462817124,12.86014872,0.801198758,10.62695395,13.64079877,19.87643149,7.049437317,2.357088945,7.307667052,0.46058502,0.37951181,1.466128958,1.687040672,6.349074003,0.580096634,1.054899821
C15:0,saturated,3.002116086,4.892826594,10.04866095,12.62472241,21.65833767,6.904226316,6.333433613,0.553371581,7.326475492,2.326386158,7.250143449,16.35836382,0.740321977,19.03263661,0.474612655,21.17235736,10.23569475,39.39306382,42.84576254,8.829664751,31.03984417,0.543752466,7.426780853,1.339867016,1.851380165,4.838280825,7.223876359,22.44584215,0.623560831,0.748971382,3.923421947,3.226274661,30.09837489,0.613506814,14.29452595,0.414507668,6.586223675,15.17488356,3.704578125,25.85765643,2.103276743,1.812528812,10.28971766,14.78928572,23.78643323,1.138861515,24.87874385,8.490121893,70.19590839,0.681225363,4.90805,1.443693397,0.508266947,27.29441059,9.26016064,32.30868767,0.772741757,0.629970112,5.934929328,1.404513851,2.324531869,1.567728884,7.152268518,0.507336202,5.061174644,1.864005291,0.511669943,3.173895426,17.01387637,71.98768468,1.649802056,35.08651193,36.88424649,50.85546455,18.0709094,0.694607923,14.43512226,0.52909655,0.466377577,2.151108112,3.569476727,28.62946918,0.719354489,4.980248451
